Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2021-04-01","1,994","0","0","0","1,440","0","0","0","0"
"2021-04-02","1,994","0","0","0","1,440","0","0","0","0"
"2021-04-03","1,994","0","0","0","1,440","0","0","0","0"
"2021-04-04","1,994","0","0","0","1,440","0","0","0","0"
"2021-04-05","1,994","0","0","0","1,440","0","0","0","0"
"2021-04-06","1,994","0","0","0","1,440","0","0","0","0"
"2021-04-07","1,994","0","0","0","1,440","0","0","0","0"
"2021-04-08","1,994","0","0","0","1,440","0","0","0","0"
"2021-04-09","1,994","0","0","0","1,440","0","0","0","0"
"2021-04-10","1,994","0","0","0","1,440","0","0","0","0"
"2021-04-11","1,994","0","0","0","1,440","0","0","0","0"
"2021-04-12","1,994","0","0","0","1,440","0","0","0","0"
"2021-04-13","1,994","0","0","0","1,440","0","0","0","0"
"2021-04-14","1,994","0","0","0","1,440","0","0","0","0"
"2021-04-15","1,994","0","0","0","1,440","0","0","0","0"
"2021-04-16","1,994","0","0","0","1,440","0","0","0","0"
"2021-04-17","1,994","0","0","0","1,440","0","0","0","0"
"2021-04-18","1,994","0","0","0","1,440","0","0","0","0"
"2021-04-19","1,994","0","0","0","1,440","0","0","0","0"
"2021-04-20","1,994","0","0","0","1,440","0","0","0","0"
"2021-04-21","1,994","0","0","0","1,440","0","0","0","0"
"2021-04-22","2,216","1,824","0.87","0","1,398","25","2","15","258"
"2021-04-23","2,844","4,822","2.29","0","782","161","2","15","910"
"2021-04-24","2,602","2,875","1.37","0","863","117","9","16","686"
"2021-04-25","3,064","5,245","2.49","0","811","143","13","42","1,216"
"2021-04-26","2,746","4,831","2.3","0","605","151","8","14","861"
"2021-04-27","2,952","5,344","2.62","0","884","158","2","23","1,006"
"2021-04-28","2,735","4,125","1.96","0","918","135","7","23","836"
"2021-04-29","2,892","6,226","3.26","0","810","128","10","32","993"
"2021-04-30","2,910","6,539","3.25","0","735","124","4","38","1,011"

